estrategia,vectores,dimension,k,consulta,latencia_ms,distancias,registros_examinados,page_reads,buffer_hits,buffer_misses,filas
topk,10000,32,10,11,3.683313,10000,10000,358,10000,358,10
topk,10000,32,10,12,3.686148,10000,10000,358,10000,358,10
topk,10000,32,10,13,3.670829,10000,10000,358,10000,358,10
topk,10000,32,10,14,3.698913,10000,10000,358,10000,358,10
topk,10000,32,10,15,3.682562,10000,10000,358,10000,358,10
topk,10000,32,10,16,3.676981,10000,10000,358,10000,358,10
topk,10000,32,10,17,3.676551,10000,10000,358,10000,358,10
topk,10000,32,10,18,3.675158,10000,10000,358,10000,358,10
topk,10000,32,10,19,3.675047,10000,10000,358,10000,358,10
topk,10000,32,10,20,3.668174,10000,10000,358,10000,358,10
topk,10000,32,10,21,3.679034,10000,10000,358,10000,358,10
topk,10000,32,10,22,3.789246,10000,10000,358,10000,358,10
topk,10000,32,10,23,3.675257,10000,10000,358,10000,358,10
topk,10000,32,10,24,3.683754,10000,10000,358,10000,358,10
topk,10000,32,10,25,3.670950,10000,10000,358,10000,358,10
topk,10000,32,10,26,3.683103,10000,10000,358,10000,358,10
topk,10000,32,10,27,3.677322,10000,10000,358,10000,358,10
topk,10000,32,10,28,3.678193,10000,10000,358,10000,358,10
topk,10000,32,10,29,3.679495,10000,10000,358,10000,358,10
fullsort,10000,32,10,0,5.857131,10000,10000,358,10000,358,10
fullsort,10000,32,10,1,5.653991,10000,10000,358,10000,358,10
fullsort,10000,32,10,2,5.696814,10000,10000,358,10000,358,10
fullsort,10000,32,10,3,5.678078,10000,10000,358,10000,358,10
fullsort,10000,32,10,4,5.754415,10000,10000,358,10000,358,10
fullsort,10000,32,10,5,5.678699,10000,10000,358,10000,358,10
fullsort,10000,32,10,6,5.678328,10000,10000,358,10000,358,10
fullsort,10000,32,10,7,5.644875,10000,10000,358,10000,358,10
fullsort,10000,32,10,8,5.822875,10000,10000,358,10000,358,10
fullsort,10000,32,10,9,5.823147,10000,10000,358,10000,358,10
fullsort,10000,32,10,10,5.656957,10000,10000,358,10000,358,10
fullsort,10000,32,10,11,5.653521,10000,10000,358,10000,358,10
fullsort,10000,32,10,12,5.822996,10000,10000,358,10000,358,10
fullsort,10000,32,10,13,5.846621,10000,10000,358,10000,358,10
fullsort,10000,32,10,14,5.797717,10000,10000,358,10000,358,10
fullsort,10000,32,10,15,5.743203,10000,10000,358,10000,358,10
fullsort,10000,32,10,16,5.885115,10000,10000,358,10000,358,10
fullsort,10000,32,10,17,5.900495,10000,10000,358,10000,358,10
fullsort,10000,32,10,18,5.686805,10000,10000,358,10000,358,10
fullsort,10000,32,10,19,5.673199,10000,10000,358,10000,358,10
fullsort,10000,32,10,20,5.802757,10000,10000,358,10000,358,10
fullsort,10000,32,10,21,5.694730,10000,10000,358,10000,358,10
fullsort,10000,32,10,22,5.715540,10000,10000,358,10000,358,10
fullsort,10000,32,10,23,5.709208,10000,10000,358,10000,358,10
fullsort,10000,32,10,24,5.823758,10000,10000,358,10000,358,10
fullsort,10000,32,10,25,5.913159,10000,10000,358,10000,358,10
fullsort,10000,32,10,26,5.836021,10000,10000,358,10000,358,10
fullsort,10000,32,10,27,5.867952,10000,10000,358,10000,358,10
fullsort,10000,32,10,28,5.767570,10000,10000,358,10000,358,10
fullsort,10000,32,10,29,5.657679,10000,10000,358,10000,358,10
topk,10000,64,1,0,6.271948,10000,10000,710,10000,710,1
topk,10000,64,1,1,6.256528,10000,10000,710,10000,710,1
topk,10000,64,1,2,6.526565,10000,10000,710,10000,710,1
topk,10000,64,1,3,6.086882,10000,10000,710,10000,710,1
topk,10000,64,1,4,6.063668,10000,10000,710,10000,710,1
topk,10000,64,1,5,6.079208,10000,10000,710,10000,710,1
topk,10000,64,1,6,6.060351,10000,10000,710,10000,710,1
topk,10000,64,1,7,6.075260,10000,10000,710,10000,710,1
topk,10000,64,1,8,6.067295,10000,10000,710,10000,710,1
topk,10000,64,1,9,6.072164,10000,10000,710,10000,710,1
topk,10000,64,1,10,6.083526,10000,10000,710,10000,710,1
topk,10000,64,1,11,6.063287,10000,10000,710,10000,710,1
topk,10000,64,1,12,6.074348,10000,10000,710,10000,710,1
topk,10000,64,1,13,6.055572,10000,10000,710,10000,710,1
topk,10000,64,1,14,6.138281,10000,10000,710,10000,710,1
topk,10000,64,1,15,6.103875,10000,10000,710,10000,710,1
topk,10000,64,1,16,6.060622,10000,10000,710,10000,710,1
topk,10000,64,1,17,6.064329,10000,10000,710,10000,710,1
topk,10000,64,1,18,6.074669,10000,10000,710,10000,710,1
topk,10000,64,1,19,6.053238,10000,10000,710,10000,710,1
topk,10000,64,1,20,6.075230,10000,10000,710,10000,710,1
topk,10000,64,1,21,6.051905,10000,10000,710,10000,710,1
topk,10000,64,1,22,6.057997,10000,10000,710,10000,710,1
topk,10000,64,1,23,6.053919,10000,10000,710,10000,710,1
topk,10000,64,1,24,6.057285,10000,10000,710,10000,710,1
topk,10000,64,1,25,6.073477,10000,10000,710,10000,710,1
topk,10000,64,1,26,6.055132,10000,10000,710,10000,710,1
topk,10000,64,1,27,6.071442,10000,10000,710,10000,710,1
topk,10000,64,1,28,6.057366,10000,10000,710,10000,710,1
topk,10000,64,1,29,6.049541,10000,10000,710,10000,710,1
fullsort,10000,64,1,0,8.562790,10000,10000,710,10000,710,1
fullsort,10000,64,1,1,8.348589,10000,10000,710,10000,710,1
fullsort,10000,64,1,2,8.433873,10000,10000,710,10000,710,1
fullsort,10000,64,1,3,8.315657,10000,10000,710,10000,710,1
fullsort,10000,64,1,4,8.340394,10000,10000,710,10000,710,1
fullsort,10000,64,1,5,8.341826,10000,10000,710,10000,710,1
fullsort,10000,64,1,6,8.306799,10000,10000,710,10000,710,1
fullsort,10000,64,1,7,8.340043,10000,10000,710,10000,710,1
fullsort,10000,64,1,8,8.286180,10000,10000,710,10000,710,1
fullsort,10000,64,1,9,8.332138,10000,10000,710,10000,710,1
fullsort,10000,64,1,10,8.351505,10000,10000,710,10000,710,1
fullsort,10000,64,1,11,8.320295,10000,10000,710,10000,710,1
fullsort,10000,64,1,12,8.336616,10000,10000,710,10000,710,1
fullsort,10000,64,1,13,8.315976,10000,10000,710,10000,710,1
fullsort,10000,64,1,14,8.349562,10000,10000,710,10000,710,1
fullsort,10000,64,1,15,8.287562,10000,10000,710,10000,710,1
fullsort,10000,64,1,16,8.551880,10000,10000,710,10000,710,1
fullsort,10000,64,1,17,8.564183,10000,10000,710,10000,710,1
fullsort,10000,64,1,18,8.491795,10000,10000,710,10000,710,1
fullsort,10000,64,1,19,8.516622,10000,10000,710,10000,710,1
fullsort,10000,64,1,20,8.449373,10000,10000,710,10000,710,1
fullsort,10000,64,1,21,8.413705,10000,10000,710,10000,710,1
fullsort,10000,64,1,22,8.330975,10000,10000,710,10000,710,1
fullsort,10000,64,1,23,8.375762,10000,10000,710,10000,710,1
fullsort,10000,64,1,24,8.434303,10000,10000,710,10000,710,1
fullsort,10000,64,1,25,8.532953,10000,10000,710,10000,710,1
fullsort,10000,64,1,26,8.300727,10000,10000,710,10000,710,1
fullsort,10000,64,1,27,8.391983,10000,10000,710,10000,710,1
fullsort,10000,64,1,28,8.369118,10000,10000,710,10000,710,1
fullsort,10000,64,1,29,8.354060,10000,10000,710,10000,710,1
topk,10000,64,5,0,5.977923,10000,10000,710,10000,710,5
topk,10000,64,5,1,6.042357,10000,10000,710,10000,710,5
topk,10000,64,5,2,6.011208,10000,10000,710,10000,710,5
topk,10000,64,5,3,5.950551,10000,10000,710,10000,710,5
topk,10000,64,5,4,5.918429,10000,10000,710,10000,710,5
topk,10000,64,5,5,5.835871,10000,10000,710,10000,710,5
topk,10000,64,5,6,5.805974,10000,10000,710,10000,710,5
topk,10000,64,5,7,5.873884,10000,10000,710,10000,710,5
topk,10000,64,5,8,5.835280,10000,10000,710,10000,710,5
topk,10000,64,5,9,5.808308,10000,10000,710,10000,710,5
topk,10000,64,5,10,5.857373,10000,10000,710,10000,710,5
topk,10000,64,5,11,5.814150,10000,10000,710,10000,710,5
topk,10000,64,5,12,6.063047,10000,10000,710,10000,710,5
topk,10000,64,5,13,6.200741,10000,10000,710,10000,710,5
topk,10000,64,5,14,5.964829,10000,10000,710,10000,710,5
topk,10000,64,5,15,5.926926,10000,10000,710,10000,710,5
topk,10000,64,5,16,5.904613,10000,10000,710,10000,710,5
topk,10000,64,5,17,6.026316,10000,10000,710,10000,710,5
topk,10000,64,5,18,5.923760,10000,10000,710,10000,710,5
topk,10000,64,5,19,5.943819,10000,10000,710,10000,710,5
topk,10000,64,5,20,5.913971,10000,10000,710,10000,710,5
topk,10000,64,5,21,5.882220,10000,10000,710,10000,710,5
topk,10000,64,5,22,5.843235,10000,10000,710,10000,710,5
topk,10000,64,5,23,6.074118,10000,10000,710,10000,710,5
topk,10000,64,5,24,5.866059,10000,10000,710,10000,710,5
topk,10000,64,5,25,5.814952,10000,10000,710,10000,710,5
topk,10000,64,5,26,5.886869,10000,10000,710,10000,710,5
topk,10000,64,5,27,5.858465,10000,10000,710,10000,710,5
topk,10000,64,5,28,5.803249,10000,10000,710,10000,710,5
topk,10000,64,5,29,5.828948,10000,10000,710,10000,710,5
fullsort,10000,64,5,0,8.284998,10000,10000,710,10000,710,5
fullsort,10000,64,5,1,8.211888,10000,10000,710,10000,710,5
fullsort,10000,64,5,2,8.425117,10000,10000,710,10000,710,5
fullsort,10000,64,5,3,8.112958,10000,10000,710,10000,710,5
fullsort,10000,64,5,4,8.033986,10000,10000,710,10000,710,5
fullsort,10000,64,5,5,8.891952,10000,10000,710,10000,710,5
fullsort,10000,64,5,6,10.274443,10000,10000,710,10000,710,5
fullsort,10000,64,5,7,8.235323,10000,10000,710,10000,710,5
fullsort,10000,64,5,8,8.140070,10000,10000,710,10000,710,5
fullsort,10000,64,5,9,9.675565,10000,10000,710,10000,710,5
fullsort,10000,64,5,10,9.042901,10000,10000,710,10000,710,5
fullsort,10000,64,5,11,8.101977,10000,10000,710,10000,710,5
fullsort,10000,64,5,12,7.978911,10000,10000,710,10000,710,5
fullsort,10000,64,5,13,7.981475,10000,10000,710,10000,710,5
